"predicted returns %","predicted price","ticker.multisma.signals","20 day sma","50 day sma","recommendation signals","actual returns %","ticker.return.factors","open","close","high","low","volume","ticker.sma.signals","ticker.bbands.signals","lower bband ","mavg","higher bband","bband pctb","money flow index","Close.EMA.14","ticker.rsi.signals"
"2012-10-31",0,680.3,"hold",724.27,713.4766,"hold",1,"1",679.86,680.3,681,675,1537000,"hold","hold",651.498682298587,724.27,797.041317701413,0.197889213849249,21.3940382317759,34.0447778697164,"hold"
"2012-11-01",-0.5,684.15205,"hold",720.8,713.717599999999,"hold",1,"0",679.5,687.59,690.9,678.72,2050100,"hold","hold",647.981967343247,720.8,793.618032656753,0.271965825027546,25.193882092173,38.6593394650919,"hold"
"2012-11-02",0,687.92,"hold",717.071,714.085799999999,"hold",0,"-1",694.79,687.92,695.55,687.37,2324400,"hold","hold",645.549779400796,717.071,788.592220599204,0.296207337096785,24.8109495049358,38.8678471399439,"hold"
"2012-11-05",0,682.96,"sell",712.8165,714.201399999999,"hold",-1,"0",684.5,682.96,686.86,675.56,1635900,"hold","hold",643.854029836874,712.8165,781.778970163126,0.283530810820895,25.2719549677795,36.8408388388989,"hold"
"2012-11-06",0,681.72,"hold",708.52,714.299799999999,"hold",0,"-2",685.48,681.72,686.5,677.55,1582800,"hold","hold",643.143868575756,708.52,773.896131424244,0.295032228000098,29.1208284113573,36.3307288316212,"hold"
"2012-11-07",0,667.12,"hold",703.984,714.069599999999,"hold",-2,"-2",675,667.12,678.23,666.49,2232300,"hold","hold",640.359815164358,703.984,767.608184835643,0.210298842372368,24.8484466398309,30.9047784081583,"hold"
"2012-11-08",0,652.29,"hold",699.394,713.730999999999,"hold",-2,"2",670.2,652.29,671.49,651.23,2597000,"hold","hold",634.767997678953,699.394,764.020002321047,0.135564646517991,20.015071697774,26.5648543621286,"buy"
"2012-11-09",0,663.03,"hold",695.3175,713.446599999999,"hold",2,"0",654.65,663.03,668.34,650.3,3114100,"hold","hold",632.337158979964,695.3175,758.297841020036,0.24367001291936,31.8793628650033,33.8137535615189,"hold"
"2012-11-12",-0.5,662.5705,"hold",691.0385,713.004399999999,"hold",0,"-1",663.75,665.9,669.8,660.87,1405900,"hold","hold",632.425220182198,691.0385,749.651779817803,0.285556275999719,46.3203054380359,35.641992641058,"hold"
"2012-11-13",-0.5,655.75475,"hold",686.7535,712.5518,"hold",-1,"-1",663,659.05,667.6,658.23,1594200,"hold","hold",632.074990044077,686.7535,741.432009955923,0.246669212252382,50.2173917915258,33.2791702205473,"hold"
"2012-11-14",-0.5,649.28725,"hold",682.332,711.901,"hold",-1,"-1",660.66,652.55,662.18,650.5,1668400,"hold","hold",631.761118813293,682.332,732.902881186707,0.205542010529284,42.2337782624871,31.1677165295221,"hold"
"2012-11-15",-0.5,644.0237,"hold",677.46,711.2254,"hold",-1,"0",650,647.26,660,643.9,1848900,"hold","hold",633.522270882532,677.46,721.397729117468,0.156331806324583,43.3485190313771,29.5258477438767,"buy"
"2012-11-16",2.5,663.3595,"hold",672.0445,710.5546,"buy",0,"3",645.99,647.18,653.02,636,3438200,"hold","hold",644.136562437364,672.0445,699.952437562636,0.0545263790239862,42.0221554313933,29.5005383117893,"buy"
"2012-11-19",0,668.21,"hold",670.705,709.9308,"hold",3,"0",655.7,668.21,668.92,655.53,2368200,"hold","hold",644.835604568332,670.705,696.574395431668,0.45177699442976,49.5083365307053,43.2676992645253,"hold"
"2012-11-20",-0.5,666.62015,"hold",670.114,709.2072,"hold",0,"-1",669.51,669.97,678,664.57,2088700,"hold","hold",644.749436215066,670.114,695.478563784934,0.497161394116195,50.414331553535,44.2489271826655,"hold"
"2012-11-21",-0.5,662.54065,"hold",669.474,708.5092,"hold",-1,"0",668.99,665.87,669.8,660.4,2112200,"hold","hold",644.360577772036,669.474,694.587422227964,0.428245542019616,43.3678101137842,42.4087857251729,"hold"
"2012-11-23",0,667.97,"hold",668.855,708.0248,"hold",0,"-1",669.97,667.97,670,666.1,922500,"sell","hold",644.239024293155,668.855,693.470975706845,0.482023869162456,40.4158856957008,43.700228648011,"hold"
"2012-11-26",0,661.15,"hold",668.0475,707.4302,"hold",-1,"1",666.44,661.15,667,659.02,2204600,"hold","hold",643.533262606192,668.0475,692.561737393809,0.359316447638257,39.693663994693,40.5221731806503,"hold"
"2012-11-27",0,670.71,"hold",667.695,706.7236,"hold",1,"2",660.17,670.71,675,658,2508700,"hold","hold",643.549564406497,667.695,691.840435593503,0.56243416045083,41.5004643673349,46.4059054501406,"hold"
"2012-11-28",0,683.67,"hold",668.121,706.2034,"hold",2,"1",668.01,683.67,684.91,663.89,3042000,"hold","hold",643.177045301517,668.121,693.064954698484,0.81167872512503,50.4277371297056,53.1692391644082,"hold"
"2012-11-29",-0.5,688.43055,"hold",668.7005,705.8416,"hold",1,"1",687.78,691.89,693.9,682,2776500,"hold","hold",642.164014569559,668.7005,695.236985430441,0.936936158346697,59.1892224841908,56.885598818457,"hold"
"2012-11-30",-0.5,694.87815,"hold",669.2395,705.4434,"hold",1,"0",691.31,698.37,699.22,685.69,3163600,"hold","hold",640.819152025354,669.2395,697.659847974647,1.01249372502382,59.4635064987977,59.6069291718941,"hold"
"2012-12-03",-0.5,691.77375,"hold",669.606,704.7984,"hold",0,"-1",702.24,695.25,705.89,694.11,2192500,"hold","hold",640.064573223353,669.606,699.147426776647,0.934034554151456,60.5915487216579,57.7179209095887,"hold"
"2012-12-04",-0.5,687.57485,"hold",670.0095,704.0566,"hold",-1,"0",695,691.03,695.51,685.7,1991700,"hold","hold",639.543513408393,670.0095,700.475486591608,0.844983083623333,59.6962750863111,55.1711398797596,"hold"
"2012-12-05",-0.5,684.3809,"hold",670.3145,703.1332,"hold",0,"0",692.15,687.82,694.5,682.33,1862400,"hold","hold",639.269051718489,670.3145,701.359948281512,0.781933439022442,59.181938000752,53.2465009497174,"hold"
"2012-12-06",-0.5,687.67435,"hold",671.515,701.9682,"hold",0,"-1",687.59,691.13,695.61,684.51,1462300,"hold","hold",639.224581916612,671.515,703.805418083388,0.803727872914887,64.3556383386186,54.9901246522495,"hold"
"2012-12-07",-0.5,680.78895,"hold",673.111,700.6692,"hold",-1,"0",695,684.21,696.88,682.42,1919300,"hold","hold",641.634108222063,673.111,704.587891777938,0.676303938748158,67.1337878772563,50.7305068776737,"hold"
"2012-12-10",-0.5,681.9929,"hold",674.2305,699.3084,"hold",0,"2",685.39,685.42,691.65,683.79,1366700,"hold","hold",642.674857414244,674.2305,705.786142585757,0.677297926505393,61.4507096777794,51.4388422308711,"hold"
"2012-12-11",-0.5,693.3956,"hold",675.7795,698.116,"hold",2,"0",690,696.88,701.92,687.72,2687600,"hold","hold",642.994114551603,675.7795,708.564885448398,0.82179734524108,62.3242151983718,57.6490722097659,"hold"
"2012-12-12",-0.5,694.0722,"hold",677.705,696.977199999999,"hold",0,"1",699.23,697.56,703.51,693.48,2426000,"hold","hold",644.554523382009,677.705,710.855476617992,0.799467790897825,69.5531372847449,57.9923580836369,"hold"
"2012-12-13",-0.5,699.1865,"hold",680.2125,695.795599999999,"hold",1,"0",715.92,702.7,716.47,699.55,3444900,"hold","hold",647.468048943371,680.2125,712.95695105663,0.843378790517957,71.9832840834884,60.5925770877159,"hold"
